Idx,Comment,Code
11682 Code_Performance_Part_III_MVAR_FE.R 2,Set the values to simulate data assuming a VAR(1) process,"set.seed(123) # Set random seed
N = c(20,60) # Number of participants
T = c(50,100) # Number of time points
P = 4 # Number of variables in VAR(1) models
cor.Sigma = 0.2 # Set the covariance of the within-individuals errors (i.e., all covariances are assumed to be equal)
b.ar.min = 0.2 b.ar.max = 0.6
b.cr.min = 0.05
b.cr.max = 0.2
K = c(2,4)
diff = c(1,2)
size = c(1,2,3)"
11682 Code_Performance_Part_III_MVAR_FE.R 3,Set the number of replicates,R = 10 # Number of replicates
11682 Code_Performance_Part_III_MVAR_FE.R 4,Set the number of blocks in block cross-validation,fold = 10
9878 VADIS_particles_written.R 11,## calculate similarity coefficient (mean of signif_line$similarity.scores),"mean(signif_line$similarity.scores[,2])"
2055 openpose2R_2persons_2D_nohand_noface_JSONtoTimeSeries.R 11,write extracted data to csv file in the parent folder,"write.csv(extract_data_allbps, file = paste0(parentfolder, ""/"", name_video, ""_openpose_extracted_2p.csv""),
row.names = F)"
1018 01a_DataPrep_Study1.R 3,Exclude participants who completed less than 10 surveys,"dat <- dat[-which(dat$N < 10), ]
dim(dat) # 18046 assessments
length(unique(dat$id)) # 286 participants (42 participants excluded)"
6145 OpenMxMNLFA.R 39,Run model and save output,"runModels(pathfix)
fitMplusPartial <- readModels(pathfix)"
6145 OpenMxMNLFA.R 36,Create folder,"pathfix <- ""~/FinalModel""
dir.create(pathfix)"
6145 OpenMxMNLFA.R 37,Store data in folder,"prepareMplusData(df=DS14, filename=paste0(pathfix, ""/DS14dat.dat""))"
10729 Exp1OSF.R 2,Create column scoringnum that codes target completions numerically,"Exp1$scoringnum[Exp1$scoring==""d""] <- 0
Exp1$scoringnum[Exp1$scoring==""p""] <- 1"
1566 Fig.S2.R 0,"Load data files
Chose file : ""PleioSimData.txt""","dataSave <- read.table(file.choose(),h=T)
head(dataSave)"
214 IntroSampling.R 1,How many agents do we have in the data?,"sum(pepen$SemanticRole==""agent"")"
11576 1_dataPrep.R 7,Preprocess data,df = preproc(df)
11576 1_dataPrep.R 12,make sure it's a dataframe,df = as.data.frame(df)
11576 1_dataPrep.R 13,save data,"save(df, file = paste(inputFolder, ""df_withIntercepts.rda"", sep = ""/""))"
7226 vrw_power_randr.R 1,Verify the dimensions of the data frame.,dim(vrData)
10570 Experiment2RawDataProcessing.R 12,Rename Data columns,"names(ProcessedData) <- c(""Identifier"", ""Stimuli"", ""Distance"", ""Encoding_Rating"", ""Encoding_DecisionTime"", ""DecisionTime"", ""Deviation"", ""sdDecisionTime"", ""sdDeviation"")"
1150 4_Lat-Reg_PV.R 5,Load model and conditioning variables,"input <- list(
model = path,
con.dat = ""1_Data/Conditioning_variables.RData"",
part.dig = ""1_Data/PA12_Digital_Participation.RData""
)
load(input$model)
load(input$con.dat)
load(input$part.dig)"
981 math_anxiety_study.R 1,DATA FILTERING,"data = data %>% filter(filter_erspq == 2) %>% # 2 = keep the valid (not-empty) rows
filter(stem_soc == ""stem"" | stem_soc == ""soc"") %>% # include only STEM and SOC students
droplevels()# drop factor levels (for better display)"
11148 04_1_pairwise_correlations.R 7,Put results into list to keep workspace tidy,"results_corr <- list(res_corr_ext, res_corr_emo, res_corr_agr, res_corr_con, res_corr_ope, res_corr_mean)"
