Idx,Comment,Code,License,Label,Author,Datasets,Packages,Output Types,Output Names,Source,Title,Project description,Domain,Publication date,Date modified,DOI
5080 SRMA2019_analyses.R 30,Create the histogram,"histplot.score <- ggplot(binary-scoredf, aes(x=yes.score)) + geom_histogram(binwidth=1, color=""black"", fill=""lightblue"") histplot.score + scale_x_continuous(name=""Number of recommended practices (max: 36 items)"", breaks=seq(0,36,2)) + scale_y_continuous(name=""Frequency of publications"", limits=c(0, 20)) + theme(panel.grid.major = element_blank(), panel.grid.minor = element_blank(), panel.background = element_blank(), axis.line = element_line(colour = ""black"")) ",CC-By Attribution 4.0 International,Visualization,Daniel Umpierre,['SRMAdata.csv'],"['tidyverse', 'DescTools', 'ggplot2']",None,None,https://osf.io/ntw7d/,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"The SEES-Initiative generates prospective and systematic appraisals of systematic reviews and clinical trials of exercise interventions.  Find here our protocol and materials. 
    Hosted on the Open Science Framework",Social Science,2019-03-06,2022-12-02,10.17605/OSF.IO/NTW7D
6322 hadza_returns_model.R 0," Load data: data file ""hfp"" contains individuallevel foraging return data (kcal) at the daily level along with the date, unique camp id, age, sex, and unique person id. ","hfp <- read.csv(""food_pro_data.csv"", as.is=T) h <- hfp[hfp$age > 5,] h$age_z <- (h$age-mean(h$age, na.rm=T))/sd(h$age, na.rm=T) h$month <- month(ymd(h$date)) ",CC0 1.0 Universal,Data Variable,Thomas Kraft,['food_pro_data.csv'],"['sjPlot', 'lubridate', 'tidyverse', 'brms']",None,None,https://osf.io/92e6c/,The energetics of uniquely human subsistence strategies,"This repository contains limited data and code associated with the paper: Kraft et al. (2021) The energetics of uniquely human subsistence strategies. Science, XXX, XXXX. Note that due to existing data sharing agreements and ethical concerns involving data access, data for human subjects (Hadza/Tsimane) used in this paper are only available from Brian Wood/Michael Gurven under a material transfer agreement with UCLA/UC Santa Barbara. Even when data files are not publicly available, code files for processing and analysis (in the R language) are provided for transparency.

Please see published article for more information. 
    Hosted on the Open Science Framework",Social Science,2021-03-15,2021-12-25,None
6322 hadza_returns_model.R 5,Plot the marginal/conditional effects for predicted values and probability of zerodays,"p <- conditional_effects(hadza_lognormal_returns_model, effects=c(""age_z:sex""))  # includes the hurdle component p2 <- conditional_effects(hadza_lognormal_returns_model, effects=c(""age_z:sex""), dpar=""hu"") # to see the hurdle component (Pr zero-days) plot(p)[[1]] + scale_x_continuous(breaks = c(-1, 0, 1, 2), labels= round(c(-1, 0, 1, 2)*sd(h$age, na.rm=T) + mean(h$age, na.rm=T))) + ggplot2::labs(x=""Age"", y=""kcal/day"") +ggplot2::lims(y=c(0,6500)) + theme_classic() plot(p2)[[1]] + ggplot2::lims(y=c(0,1)) + labs(x=""Age"", y=""Probability of zero day\n(hurdle component of model)"") + theme_classic() + scale_x_continuous(breaks = c(-1, 0, 1, 2), labels= round(c(-1, 0, 1, 2)*sd(h$age, na.rm=T) + mean(h$age, na.rm=T))) ",CC0 1.0 Universal,Visualization,Thomas Kraft,['food_pro_data.csv'],"['sjPlot', 'lubridate', 'tidyverse', 'brms']",None,None,https://osf.io/92e6c/,The energetics of uniquely human subsistence strategies,"This repository contains limited data and code associated with the paper: Kraft et al. (2021) The energetics of uniquely human subsistence strategies. Science, XXX, XXXX. Note that due to existing data sharing agreements and ethical concerns involving data access, data for human subjects (Hadza/Tsimane) used in this paper are only available from Brian Wood/Michael Gurven under a material transfer agreement with UCLA/UC Santa Barbara. Even when data files are not publicly available, code files for processing and analysis (in the R language) are provided for transparency.

Please see published article for more information. 
    Hosted on the Open Science Framework",Social Science,2021-03-15,2021-12-25,None
5387 stuart.R 1,Calculate overall mean standard length (Ls),"Ls <- mean(standard.length, na.rm = TRUE) ",CC-By Attribution 4.0 International,Data Variable,Junya Watanabe,"['05.geomo_nom.csv', '01.univMorph.csv', '10.jaw4barCT.csv']",['lme4'],None,None,https://osf.io/6ukwg/,"Supplemental materials for preprint: Detecting (non)parallel evolution in multidimensional spaces: angles, correlations, and eigenanalysis","Supplement for the preprint. R codes to reproduce the re-analysis presented therein. 
    Hosted on the Open Science Framework",Social Science,2021-09-30,2021-10-15,None
11682 Psi.PS.AR.Matrix.R 1,Generate Psi of an AR(1) model,"Psi = diag(p) diag(Psi) = runif(p,b.ar.min,b.ar.max) return(Psi) } ",CC-By Attribution 4.0 International,Statistical Modeling,Ginette Lafit,None,None,None,None,https://osf.io/rs6un/,A systematic study into the factors that affect the predictive accuracy of multilevel VAR(1) models,"R script to performs the simulation study to study the factors that affect predictive accuracy in multilevel VAR(1) models. 
    Hosted on the Open Science Framework",Psychology,2020-06-29,2021-08-09,10.17605/OSF.IO/RS6UN
5717 Rcode_Figure2.R 0,We use the R package qgraph to visualize our matrix,"if (!require(qgraph)) install.packages(""qgraph"");; require(qgraph) ",CC-By Attribution 4.0 International,Visualization,Annelise Blanchard,None,"['qgraph', 'qgraph', 'qgraph', 'qgraph']",None,None,https://osf.io/3kem6/,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations,"For decades, science has attempted to understand the world by boiling concepts down to their simplest components in a quest for reductionism, but there is now a move to map the world's complexities via a network perspective. Clinical psychology has embraced this perspective as well, and researchers have started to conceptualize mental disorders as network systems. In this chapter, we review and discuss the theoretical conjectures, levels of evidence, current challenges and future directions, as well as the potential translational value of this radically new approach to psychopathology. 

[here, we provide the R code The R code used to estimate and visualize the two networks depicted in the chapter's Figure 2] 
    Hosted on the Open Science Framework",Social Science,2020-07-20,2020-07-23,10.17605/OSF.IO/3KEM6
5717 Rcode_Figure2.R 5,VISUALIZE YOUR NETWORKS  Make sure you have the right package: qgraph,"if (!require(qgraph)) install.packages(""qgraph"");; require(qgraph) ",CC-By Attribution 4.0 International,Visualization,Annelise Blanchard,None,"['qgraph', 'qgraph', 'qgraph', 'qgraph']",None,None,https://osf.io/3kem6/,Ongoing and future challenges of the network approach to psychopathology:  From theoretical conjectures to clinical translations,"For decades, science has attempted to understand the world by boiling concepts down to their simplest components in a quest for reductionism, but there is now a move to map the world's complexities via a network perspective. Clinical psychology has embraced this perspective as well, and researchers have started to conceptualize mental disorders as network systems. In this chapter, we review and discuss the theoretical conjectures, levels of evidence, current challenges and future directions, as well as the potential translational value of this radically new approach to psychopathology. 

[here, we provide the R code The R code used to estimate and visualize the two networks depicted in the chapter's Figure 2] 
    Hosted on the Open Science Framework",Social Science,2020-07-20,2020-07-23,10.17605/OSF.IO/3KEM6
10147 Exp1-LBA-null.r 2," load source functions and data  generates four data sets: FF, FS, SF, SS ","source(""prep-Exp1-data.r"") source(""pmwg-DIC.r"") ",CC-By Attribution 4.0 International,Data Variable,Guy Hawkins,None,"['rtdists', 'tidyverse', 'mvtnorm', 'pmwg']",None,None,https://osf.io/wbyj7/,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,"This page contains data and R code to perform the speed-accuracy tradeoff modelling reported in Larson & Hawkins. Speed-accuracy tradeoffs in decision making: Perception shifts and goal activation bias decision thresholds.

The README file describes the structure of the repository. It is designed to be downloaded as a complete zipped directory. 

Any questions? Feel free to contact me at guy.hawkins@newcastle.edu.au
 
    Hosted on the Open Science Framework",Psychology,2021-10-26,2021-11-01,None
10147 Exp1-LBA-null.r 17,estimate model independently for each condition in the experiment,"for(condition in names(all.data)) { cat(""\n\n\n\nEstimating model for: "", condition, ""\n\n"") fnam <- paste0(""Exp1-LBA-"", model.par, ""-"", condition, "".RData"") ",CC-By Attribution 4.0 International,Statistical Modeling,Guy Hawkins,None,"['rtdists', 'tidyverse', 'mvtnorm', 'pmwg']",None,None,https://osf.io/wbyj7/,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,"This page contains data and R code to perform the speed-accuracy tradeoff modelling reported in Larson & Hawkins. Speed-accuracy tradeoffs in decision making: Perception shifts and goal activation bias decision thresholds.

The README file describes the structure of the repository. It is designed to be downloaded as a complete zipped directory. 

Any questions? Feel free to contact me at guy.hawkins@newcastle.edu.au
 
    Hosted on the Open Science Framework",Psychology,2021-10-26,2021-11-01,None
3 Collaboration boosts career progression_part 1.R 6," Then write loop to go through all Scopus IDs, adding the output to the first dataframe  NOTE: create 'output' folder in your working directory before running the following code ","for (i in 1:length(authors)){ tryCatch({ #using tryCatch () to go around error https://stackoverflow.com/questions/14748557/skipping-error-in-for-loop. So here it skips the authorIDs with an error and keeps going res = retrievalByAuthorID(authors[i], apik) M2 = res$M output <- rbind(M,M2) write.csv(output, paste0(output$AU_ID[1],"".csv""), row.names=F) #creates seperate csv's for each Scopus ID }, error=function(e){}) } ",CC-By Attribution 4.0 International,Data Variable,Jessica van der Wal,"['~/social.authors.data.csv', 'social.authors.data_earlycareer.csv', 'social.authors.data.csv']","['readr', 'jtools', 'simr', 'pwr', 'ggsignif', 'readr', 'gridExtra', 'readr', 'lmvar', 'lme4', 'jtools', 'emmeans', 'sjstats', 'ResourceSelection', 'car', 'rsq', 'ggplot2', 'doBy', 'plyr', 'DHARMa', 'survival', 'plyr', 'readr', 'reshape2', 'rms', 'ggplot2', 'flexsurv', 'e1071', 'KMsurv', 'survRM2', 'car', 'tidyverse', 'broom', 'plotrix', 'graphics', 'flexsurv', 'survminer', 'grid', 'gridBase', 'ggpubr']",None,None,https://osf.io/7v4ep/,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""","Data and code used for: van der Wal et al. (2021) ""Collaboration enhances career progression in academic science, especially for female researchers"" Proc. B.

PAPER ABSTRACT
Collaboration and diversity are increasingly promoted in science. Yet how collaborations influence academic career progression, and whether this differs by gender, remains largely unknown. Here we use co-authorship egonetworks to quantify collaboration behaviour and career progression of a cohort of contributors to biennial International Society of Behavioral Ecology meetings (1992, 1994, 1996). Among this cohort, women were slower and less likely to become a principal investigator (PI; approximated by having at least three last-author publications), and published fewer papers over fewer years (i.e. had shorter academic careers) than men. After adjusting for publication number, women also had fewer collaborators (lower adjusted network size) and published fewer times with each co-author (lower adjusted tie strength), albeit more often with the same group of collaborators (higher adjusted clustering coefficient). Authors with stronger networks were more likely to become a PI, and those with less clustered networks did so more quickly. Women, however, showed a stronger positive relationship with adjusted network size (increased career length) and adjusted tie strength (increased likelihood to become a PI). Finally, early-career network characteristics correlated with career length. Our results suggest that large and varied collaboration networks are positively correlated with career progression, especially for women. 
    Hosted on the Open Science Framework",Social Science,2021-07-20,2021-08-23,10.17605/OSF.IO/7V4EP
3 Collaboration boosts career progression_part 1.R 12,Select first letter of first name + surname,"for(i in names(x)){ firstname = word(x[[i]],-1) initial = substring(firstname, 1, 1) surname = word(x[[i]],-2) surname[is.na(surname)] <- """" tot = as.data.frame(paste(initial, surname,sep = ""."")) tot[tot=="".""]="""" x[[i]] <- tot  #join first and last name with a full stop } ",CC-By Attribution 4.0 International,Data Variable,Jessica van der Wal,"['~/social.authors.data.csv', 'social.authors.data_earlycareer.csv', 'social.authors.data.csv']","['readr', 'jtools', 'simr', 'pwr', 'ggsignif', 'readr', 'gridExtra', 'readr', 'lmvar', 'lme4', 'jtools', 'emmeans', 'sjstats', 'ResourceSelection', 'car', 'rsq', 'ggplot2', 'doBy', 'plyr', 'DHARMa', 'survival', 'plyr', 'readr', 'reshape2', 'rms', 'ggplot2', 'flexsurv', 'e1071', 'KMsurv', 'survRM2', 'car', 'tidyverse', 'broom', 'plotrix', 'graphics', 'flexsurv', 'survminer', 'grid', 'gridBase', 'ggpubr']",None,None,https://osf.io/7v4ep/,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""","Data and code used for: van der Wal et al. (2021) ""Collaboration enhances career progression in academic science, especially for female researchers"" Proc. B.

PAPER ABSTRACT
Collaboration and diversity are increasingly promoted in science. Yet how collaborations influence academic career progression, and whether this differs by gender, remains largely unknown. Here we use co-authorship egonetworks to quantify collaboration behaviour and career progression of a cohort of contributors to biennial International Society of Behavioral Ecology meetings (1992, 1994, 1996). Among this cohort, women were slower and less likely to become a principal investigator (PI; approximated by having at least three last-author publications), and published fewer papers over fewer years (i.e. had shorter academic careers) than men. After adjusting for publication number, women also had fewer collaborators (lower adjusted network size) and published fewer times with each co-author (lower adjusted tie strength), albeit more often with the same group of collaborators (higher adjusted clustering coefficient). Authors with stronger networks were more likely to become a PI, and those with less clustered networks did so more quickly. Women, however, showed a stronger positive relationship with adjusted network size (increased career length) and adjusted tie strength (increased likelihood to become a PI). Finally, early-career network characteristics correlated with career length. Our results suggest that large and varied collaboration networks are positively correlated with career progression, especially for women. 
    Hosted on the Open Science Framework",Social Science,2021-07-20,2021-08-23,10.17605/OSF.IO/7V4EP
3 Collaboration boosts career progression_part 1.R 16," Add a column per author, indicating which papers belong to them (0 or 1) ","authors = as.character(unique(authorswithAPInotworking$author.name)) x[is.na(x)]="""" for(i in (authors)){ x$i = rowSums(x == i) colnames(x)[colnames(x) == 'i'] <- i } ncol.new = ncol(x) ",CC-By Attribution 4.0 International,Data Variable,Jessica van der Wal,"['~/social.authors.data.csv', 'social.authors.data_earlycareer.csv', 'social.authors.data.csv']","['readr', 'jtools', 'simr', 'pwr', 'ggsignif', 'readr', 'gridExtra', 'readr', 'lmvar', 'lme4', 'jtools', 'emmeans', 'sjstats', 'ResourceSelection', 'car', 'rsq', 'ggplot2', 'doBy', 'plyr', 'DHARMa', 'survival', 'plyr', 'readr', 'reshape2', 'rms', 'ggplot2', 'flexsurv', 'e1071', 'KMsurv', 'survRM2', 'car', 'tidyverse', 'broom', 'plotrix', 'graphics', 'flexsurv', 'survminer', 'grid', 'gridBase', 'ggpubr']",None,None,https://osf.io/7v4ep/,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""","Data and code used for: van der Wal et al. (2021) ""Collaboration enhances career progression in academic science, especially for female researchers"" Proc. B.

PAPER ABSTRACT
Collaboration and diversity are increasingly promoted in science. Yet how collaborations influence academic career progression, and whether this differs by gender, remains largely unknown. Here we use co-authorship egonetworks to quantify collaboration behaviour and career progression of a cohort of contributors to biennial International Society of Behavioral Ecology meetings (1992, 1994, 1996). Among this cohort, women were slower and less likely to become a principal investigator (PI; approximated by having at least three last-author publications), and published fewer papers over fewer years (i.e. had shorter academic careers) than men. After adjusting for publication number, women also had fewer collaborators (lower adjusted network size) and published fewer times with each co-author (lower adjusted tie strength), albeit more often with the same group of collaborators (higher adjusted clustering coefficient). Authors with stronger networks were more likely to become a PI, and those with less clustered networks did so more quickly. Women, however, showed a stronger positive relationship with adjusted network size (increased career length) and adjusted tie strength (increased likelihood to become a PI). Finally, early-career network characteristics correlated with career length. Our results suggest that large and varied collaboration networks are positively correlated with career progression, especially for women. 
    Hosted on the Open Science Framework",Social Science,2021-07-20,2021-08-23,10.17605/OSF.IO/7V4EP
3 Collaboration boosts career progression_part 1.R 67,"Have a look at distribution first and last years, to look at outliers ",hist(as.numeric(new$first.year)) hist(as.numeric(new$last.year)),CC-By Attribution 4.0 International,Visualization,Jessica van der Wal,"['~/social.authors.data.csv', 'social.authors.data_earlycareer.csv', 'social.authors.data.csv']","['readr', 'jtools', 'simr', 'pwr', 'ggsignif', 'readr', 'gridExtra', 'readr', 'lmvar', 'lme4', 'jtools', 'emmeans', 'sjstats', 'ResourceSelection', 'car', 'rsq', 'ggplot2', 'doBy', 'plyr', 'DHARMa', 'survival', 'plyr', 'readr', 'reshape2', 'rms', 'ggplot2', 'flexsurv', 'e1071', 'KMsurv', 'survRM2', 'car', 'tidyverse', 'broom', 'plotrix', 'graphics', 'flexsurv', 'survminer', 'grid', 'gridBase', 'ggpubr']",None,None,https://osf.io/7v4ep/,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers""","Data and code used for: van der Wal et al. (2021) ""Collaboration enhances career progression in academic science, especially for female researchers"" Proc. B.

PAPER ABSTRACT
Collaboration and diversity are increasingly promoted in science. Yet how collaborations influence academic career progression, and whether this differs by gender, remains largely unknown. Here we use co-authorship egonetworks to quantify collaboration behaviour and career progression of a cohort of contributors to biennial International Society of Behavioral Ecology meetings (1992, 1994, 1996). Among this cohort, women were slower and less likely to become a principal investigator (PI; approximated by having at least three last-author publications), and published fewer papers over fewer years (i.e. had shorter academic careers) than men. After adjusting for publication number, women also had fewer collaborators (lower adjusted network size) and published fewer times with each co-author (lower adjusted tie strength), albeit more often with the same group of collaborators (higher adjusted clustering coefficient). Authors with stronger networks were more likely to become a PI, and those with less clustered networks did so more quickly. Women, however, showed a stronger positive relationship with adjusted network size (increased career length) and adjusted tie strength (increased likelihood to become a PI). Finally, early-career network characteristics correlated with career length. Our results suggest that large and varied collaboration networks are positively correlated with career progression, especially for women. 
    Hosted on the Open Science Framework",Social Science,2021-07-20,2021-08-23,10.17605/OSF.IO/7V4EP
